Policy Goal Type,Policy,"Democratic Archtype 1, Democratic Archtype 2, Democratic Archtype 3, Republican Archtype 1, Republican Archtype 2, Republican Archtype 3, Liberal Archtype 1, Liberal Archtype 2, Liberal Archtype 3, Government Hater Archtype 1, Government Hater Archtype 2, Government Hater Archtype 3",Vote %
popular,"objective: increase the number of children familiar with mental health resources available online by 50% within one year, strategy: partner with mental health organizations to integrate resource-sharing features directly into popular social media platforms targeting children.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
popular,"objective: raise awareness among 80% of children about the importance of digital footprints within two years, strategy: implement an engaging storytelling initiative that uses relatable narratives to explain the concept and consequences of digital footprints in a format appealing to children.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
popular,"objective: promote mental wellness among children using social media by 35% over the next three years, strategy: partner with mental health organizations to create and disseminate positive online content that encourages healthy self-image and wellbeing.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
popular,"objective: increase mental wellness among children engaging with social media by 35% within three years, strategy: collaborate with mental health organizations to develop and distribute uplifting online content that fosters a positive self-image and overall wellbeing.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
popular,"objective: increase the reporting of inappropriate content by children on social media platforms by 30% within 18 months, strategy: collaborate with technology companies to develop and promote intuitive reporting tools that enable children to easily and effectively report incidents of inappropriate content.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.8333333333333334
popular,"objective: reduce the incidence of online grooming of children by 50% within two years, strategy: partner with child protection organizations to develop and distribute comprehensive educational resources for children and parents focused on identifying and reporting grooming behaviors.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
popular,"objective: increase the proportion of children who are knowledgeable about reporting inappropriate content on social media by 50% within one year, strategy: create engaging online training modules that educate children on the reporting processes across different social media platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
popular,"objective: increase the percentage of children participating in social media safety workshops by 50% within one year, strategy: partner with local community organizations to provide accessible, free workshops on social media safety and digital literacy for children and their families.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
popular,"objective: ensure that 75% of social media platforms implement child safety policies within two years, strategy: advocate for the establishment of industry-wide standards mandating comprehensive child protection measures and regular effectiveness assessments across platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.8333333333333334
popular,"objective: increase awareness of privacy settings among children by 70% within one year, strategy: implement a nationwide interactive online campaign that gamifies the education process around privacy settings on popular social media platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
controversial,"objective: achieve a 60% increase in schools implementing digital citizenship curricula within 18 months, strategy: facilitate access to grants and resources for educational institutions to create and deliver programs focused on responsible online behavior and safety practices.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.75
controversial,"objective: improve the reporting and response time to online safety concerns for children by 40% within 18 months, strategy: create a centralized task force that collaborates with law enforcement and technology companies to optimize the reporting process and improve response efficiency.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.75
controversial,"objective: establish a comprehensive framework for reporting and addressing online harassment in schools, achieving utilization by 80% of educational institutions within 18 months. strategy: develop and implement a standardized reporting protocol accompanied by training programs for both staff and students to effectively handle incidents of online harassment.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.75
controversial,"objective: encourage the development of user-friendly reporting tools on social media platforms, aiming for a 30% increase in reported incidents of inappropriate content by children within 18 months, strategy: advocate for tech companies to create simple and accessible reporting mechanisms that empower children to report issues easily.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.8333333333333334
controversial,"objective: increase the reporting of inappropriate content by children on social media platforms by 30% within 18 months, strategy: collaborate with technology companies to develop and promote intuitive reporting tools that enable children to easily and effectively report incidents of inappropriate content.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.8333333333333334
controversial,"objective: reduce instances of cyberbullying among children by 30% over the next two years, strategy: launch a public awareness campaign that promotes empathy, respect, and digital citizenship among young social media users.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.8333333333333334
controversial,"objective: ensure that 75% of social media platforms implement child safety policies within two years, strategy: advocate for the establishment of industry-wide standards mandating comprehensive child protection measures and regular effectiveness assessments across platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.8333333333333334
controversial,"objective: increase awareness of privacy settings among children by 70% within one year, strategy: implement a nationwide interactive online campaign that gamifies the education process around privacy settings on popular social media platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
controversial,"objective: foster positive online interactions among children, aiming for a 25% reduction in negative comments and interactions within the next two years, strategy: create a ""kindness challenge"" initiative that encourages children to engage in and promote positive interactions on social media platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
controversial,"objective: increase the proportion of children who know how to report inappropriate content on social media by 50% in one year, strategy: develop interactive online training modules that teach children the reporting processes on various social media platforms.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0.9166666666666666
