number,key,question,options
63,GUNRESPKIDSG_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Keep their shooting skills up-to-date","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
64,GUNRESPKIDSH_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Talk to their children about gun safety","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']"
65,GUNSAFETYKIDS_W26,"For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?","['Yes', 'No', 'I do not have children under 18', 'Refused']"
66,CARRYGUN_W26,"How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']"
67,NOCARRYGUN_W26,And would you say you never carry a handgun or pistol because you don't want to or for some other reason?,"[""Don't want to carry"", 'Some other reason', 'Refused']"
68,GUNKILLF1_W26,"Which comes closer to your view, even if neither is exactly right?","['People who want to kill or harm others will find a way to do it whether they have a gun or not', ""People who want to kill or harm others are less likely to do it if they don't have a gun"", 'Refused']"
69,GUNKILLF2_W26,"Thinking about people who commit suicide using a gun, which comes closer to your view, even if neither is exactly right?","['They would find a way to do it whether they had access to a gun or not', ""They would be less likely to do it if they didn't have access to a gun"", 'Refused']"
70,DEFENDGUN_W26,"Not including in military combat or as part of your job, have you ever used a gun to defend yourself, your family or possessions, either by firing it or threatening to fire it?","['Yes', 'No', 'Refused']"
71,GUNTHREAT_W26,Has anyone ever used a gun to threaten or intimidate you or someone in your family?,"['Yes', 'No', 'Refused']"
72,CRIMEVICTIM_W26,"Have you ever been a victim of a violent crime, whether a gun was used or not?","['Yes', 'No', 'Refused']"
73,MARGUN_W26,Now thinking about your spouse or partner. Does your spouse or partner own any guns?,"['Yes', 'No', 'Refused']"
74,GUNASSOCIATIONA_W26,Are you currently a member of a gun or shooting club or gun range,"['Yes', 'No', 'Refused']"
75,GUNACTIVITYA_W26,"How often, if ever, do you visit websites about guns, hunting or other shooting sports","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
76,GUNACTIVITYB_W26,"How often, if ever, do you watch TV programs about guns or watch gun-oriented videos","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
77,GUNACTIVITYC_W26,"How often, if ever, do you listen to gun-oriented podcasts or radio shows","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
78,GUNACTIVITYD_W26,"How often, if ever, do you participate in online discussion forums about guns","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
79,GUNACTIVITYE_W26,"How often, if ever, do you attend gun shows","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']"
,CAREREL_W27,"How likely is it that, at some point in your life, you will be responsible for caring for an aging parent or family member?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'I am already doing this', 'Refused']"
,INDUSTRY_W27,"What industry or field do you currently work in? If you have multiple jobs, please choose the one that you consider to be your main or primary occupation.","['Hospitality or service', 'Health care', 'Manufacturing, mining, or construction', 'Retail', 'Education', 'Banking, finance, accounting, real estate, or insurance', 'Transportation', 'Government, public administration or military', 'Information/Technology', 'Other', 'Not currently employed', 'Refused']"
,PREDICTA_W27,Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,PREDICTB_W27,Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,PREDICTC_W27,Do you think the following will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,PREDICTD_W27,"Do you think the following will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer","['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']"
,CARS1_W27,"How much have you seen or heard about the effort to develop driverless vehicles - that is, cars and trucks that can operate on their own without a human driver?","['A lot', 'A little', 'Nothing at all', 'Refused']"
,CARS2_W27,"Has what you've seen or heard about driverless vehicles been mostly positive, mostly negative, or a mix of both?","['Mostly positive', 'Mostly negative', 'A mix of both', 'Refused']"
,CARS3A_W27,"How enthusiastic are you, if at all, about the development of driverless vehicles?","['Very enthusiastic', 'Somewhat enthusiastic', 'Not too enthusiastic', 'Not at all enthusiastic', 'Refused']"
,CARS3B_W27,"How worried are you, if at all, about the development of driverless vehicles?","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']"
,CARS4_W27,"How long, if ever, do you think it will take for most of the vehicles on the road to be driverless, rather than driven by humans?","['Less than 10 years', '10 to less than 50 years', '50 to less than 100 years', '100 or more years', 'It will never happen', 'Refused']"
,CARS5_W27,"Would you, personally, want to ride in a driverless vehicle if you had the opportunity?","['Yes', 'No', 'Refused']"
,CARS7A_W27,How safe would you feel sharing the road with a driverless passenger vehicle?,"['Very safe', 'Somewhat safe', 'Not too safe', 'Not safe at all', 'Refused']"
,CARS7B_W27,How safe would you feel sharing the road with a driverless freight truck?,"['Very safe', 'Somewhat safe', 'Not too safe', 'Not safe at all', 'Refused']"
,CARS8_W27,"If driverless vehicles become widespread, do you think that the number of people killed or injured in traffic accidents will increase, decrease, or stay about the same?","['Increase', 'Decrease', 'Stay about the same', 'Refused']"
,CARS9A_W27,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to travel in dedicated lanes","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']"
,CARS9B_W27,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Restricting them from traveling near certain areas, such as schools","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']"
,CARS9C_W27,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to have a person in the driver's seat who could take control in an emergency situation","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']"
,CARS10A_W27,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Elderly and disabled people will be able to live more independently","['Yes, likely', 'No, not likely', 'Refused']"
,CARS10B_W27,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Many people who drive for a living would lose their jobs","['Yes, likely', 'No, not likely', 'Refused']"
,CARS10C_W27,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Owning a car would become much less important to people","['Yes, likely', 'No, not likely', 'Refused']"
,CARS10D_W27,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Most people would never learn how to drive a car on their own","['Yes, likely', 'No, not likely', 'Refused']"
,CARS10E_W27,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? There would be much less traffic in major cities","['Yes, likely', 'No, not likely', 'Refused']"
,WORK2_W27,"On a different subject, would you say that society generally places too much importance on working and having a job, not enough importance on working and having a job, or is it just about right?","['Too much importance', 'Not enough importance', 'Just about right', 'Refused']"
,WORK3A_W27,What impact have the following technologies had on you and your job or career? Industrial robots,"['Positive impact', 'Negative impact', 'No impact either way', 'Refused']"
,WORK3B_W27,What impact have the following technologies had on you and your job or career? Word processing or spreadsheet software,"['Positive impact', 'Negative impact', 'No impact either way', 'Refused']"
,WORK3C_W27,What impact have the following technologies had on you and your job or career? Email or social media,"['Positive impact', 'Negative impact', 'No impact either way', 'Refused']"
,WORK3D_W27,What impact have the following technologies had on you and your job or career? Software that manages your daily work schedule or routine,"['Positive impact', 'Negative impact', 'No impact either way', 'Refused']"
,WORK3E_W27,What impact have the following technologies had on you and your job or career? Smartphones,"['Positive impact', 'Negative impact', 'No impact either way', 'Refused']"
,WORK3F_W27,What impact have the following technologies had on you and your job or career? Technologies that help customers serve themselves on their own,"['Positive impact', 'Negative impact', 'No impact either way', 'Refused']"
,WORK4A_W27,"Thinking about how demanding your work is, has technology generally made your work","['More demanding', 'Less demanding', 'No impact either way', 'Refused']"
,WORK4B_W27,"Thinking about how interesting your work is, has technology generally made your work","['More interesting', 'Less interesting', 'No impact either way', 'Refused']"
,WORK4C_W27,"Thinking about opportunities for advancement in your career, do you feel that technology has","['Increased your opportunities', 'Decreased your opportunities', 'No impact either way', 'Refused']"
,ROBJOB1_W27,"Please consider the following scenario - in the future, robots and computers with advanced capabilities may be able to do most of the jobs that are currently done by humans today. How much have you heard, read, or thought about this idea before today?","['A lot', 'A little', 'Nothing at all', 'Refused']"
,ROBJOB2_W27,"Based on what you know, does the idea of robots and computers being able to do most of the jobs currently done by humans in the future seem","['Extremely realistic', 'Somewhat realistic', 'Not very realistic', 'Not at all realistic', 'Refused']"
,ROBJOB3A_W27,"How enthusiastic are you, if at all, about the possibility of robots and computers being able to do most of the jobs currently done by humans in the future, for society as a whole?","['Very enthusiastic', 'Somewhat enthusiastic', 'Not too enthusiastic', 'Not at all enthusiastic', 'Refused']"
,ROBJOB3B_W27,"How worried are you, if at all, about the possibility of robots and computers being able to do most of the jobs currently done by humans in the future, for society as a whole?","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']"
,ROBJOB4A_W27,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? Inequality between rich and poor would be much worse than it is today,"['Yes, likely', 'No, not likely', 'Refused']"
,ROBJOB4B_W27,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? People would have a hard time finding things to do with their lives,"['Yes, likely', 'No, not likely', 'Refused']"
,ROBJOB4C_W27,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? People would be able to focus less on work and more on the things that really matter to them in life,"['Yes, likely', 'No, not likely', 'Refused']"
,ROBJOB4D_W27,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? The economy as a whole would be much more efficient,"['Yes, likely', 'No, not likely', 'Refused']"
,ROBJOB4E_W27,"Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? The economy would create many new, better-paying jobs for humans","['Yes, likely', 'No, not likely', 'Refused']"
,ROBJOB4F_W27,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? Humans would find their jobs more meaningful and fulfilling since machines would mostly be doing things that humans find unappealing,"['Yes, likely', 'No, not likely', 'Refused']"
,ROBJOB5B_W27,Would you favor or oppose the following? If robots and computers were mostly limited to doing jobs that are dangerous or unhealthy for humans to do,"['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']"
,ROBJOB5C_W27,"Would you favor or oppose the following? If people had the option of paying extra to interact with a human, rather than a robot or computer, when buying a product or service","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']"
,ROBJOB5D_W27,Would you favor or oppose the following? If the federal government created a national service program that paid people to perform tasks even if a robot or computer could do those tasks faster or cheaper,"['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']"
,ROBJOB6_W27,"Which of the following statements best describes how you feel, even if neither is exactly right?","['The government would have an obligation to take care of people whose jobs are displaced by robots and computers', 'Individuals would have an obligation to take care of their own financial well-being, even if robots and computers', 'Refused']"
,ROBJOB7_W27,"Which of the following statements best describes how you feel, even if neither is exactly right?","['If businesses can receive better work at lower cost by replacing humans with robots and computers, they are justified', 'There should be limits on how many jobs businesses can replace with robots and computers, even if they can do those', 'Refused']"
,ROBJOB8A_W27,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the job of a software engineer will be mostly replaced by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,ROBJOB8B_W27,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the job of a legal clerk will be mostly replaced by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,ROBJOB8C_W27,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the job of a nurse will be mostly replaced by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,ROBJOB8D_W27,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the job of a construction worker will be mostly replaced by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,ROBJOB8E_W27,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the job of a fast food worker will be mostly replaced by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,ROBJOB8F_W27,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the job of a teacher will be mostly replaced by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,ROBJOB8G_W27,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the job of a insurance claims processor will be mostly replaced by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,ROBJOB9_W27,"How likely, if at all, do you think it is that your own job or profession will be mostly done by robots or computers in your lifetime?","['Very likely', 'Somewhat likely', 'Not very likely', 'Not at all likely', 'Refused']"
,WORK5A_W27,"Have you yourself ever lost a job because your employer replaced your position with a machine, robot or computer program?","['Yes', 'No', ""I'm not sure"", 'Refused']"
,WORK6_W27,"Have you ever had your pay or hours reduced because your employer replaced some aspect of your job with a machine, robot or computer program?","['Yes', 'No', ""I'm not sure"", 'Refused']"
,WORK7_W27,"Do you personally know anyone who has lost a job, or had their pay or hours reduced, because their employer replaced their work with a machine, robot or computer program?","['Yes', 'No', 'Refused']"
,CAREGIV1_W27,"Please consider the following scenario - in the future, people could be provided with a robot caregiver that would allow them to continue living in their own home as they age. How much have you heard, read, or thought about this idea before today?","['A lot', 'A little', 'Nothing at all', 'Refused']"
,CAREGIV2_W27,Based on what you know does the concept of a robot caregiver for the elderly seem,"['Extremely realistic', 'Somewhat realistic', 'Not very realistic', 'Not at all realistic', 'Refused']"
,CAREGIV3A_W27,"How enthusiastic are you, if at all, about the possibility of a robot caregiver for society as a whole?","['Very enthusiastic', 'Somewhat enthusiastic', 'Not too enthusiastic', 'Not at all enthusiastic', 'Refused']"
,CAREGIV3B_W27,"How worried are you, if at all, about the possibility of a robot caregiver for society as a whole?","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']"
,CAREGIV4_W27,"Would you, personally, be interested in this type of robot caregiver for yourself or a member of your family?","['Yes', 'No', 'Refused']"
,CAREGIV6A_W27,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Young people would feel less worried about caring for their aging relatives","['Yes, likely', 'No, not likely', 'Refused']"
,CAREGIV6B_W27,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Society would save money on caring for older adults","['Yes, likely', 'No, not likely', 'Refused']"
,CAREGIV6C_W27,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Many older adults would treat their robot caregiver like a human friend","['Yes, likely', 'No, not likely', 'Refused']"
,CAREGIV6D_W27,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more isolated than they do today","['Yes, likely', 'No, not likely', 'Refused']"
,CAREGIV6E_W27,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more independent and self-sufficient","['Yes, likely', 'No, not likely', 'Refused']"
,CAREGIV6F_W27,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? These robots would only be used by people who could not afford a human caregiver for their loved one","['Yes, likely', 'No, not likely', 'Refused']"
,CAREGIV7_W27,"Would you feel better, worse, or would it not make a difference if the robot caregiver in this scenario had a camera so that a human operator could monitor the situation at all times?","['Better', 'Worse', 'No difference', 'Refused']"
,HIRING1_W27,"Please consider the following scenario - computer programs being used to screen and rank job applicants. How much have you heard, read, or thought about this idea before today?","['A lot', 'A little', 'Nothing at all', 'Refused']"
,HIRING2_W27,"Based on what you know, does the concept of using computer programs to make hiring decisions seem","['Extremely realistic', 'Somewhat realistic', 'Not very realistic', 'Not at all realistic', 'Refused']"
,HIRING3A_W27,"How enthusiastic are you, if at all, about the possibility of using computer programs to make hiring decisions for society as a whole?","['Very enthusiastic', 'Somewhat enthusiastic', 'Not too enthusiastic', 'Not at all enthusiastic', 'Refused']"
,HIRING3B_W27,"How worried are you, if at all, about the possibility of using computer programs to make hiring decisions for society as a whole?","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']"
,HIRING4_W27,"Would you, personally, want to apply for a job that used this type of computer program to make hiring decisions?","['Yes', 'No', 'Refused']"
,HIRING6A_W27,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to hiring candidates who are well-qualified","['Better job than humans', 'Worse job than humans', 'About the same', 'Refused']"
,HIRING6B_W27,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to hiring candidates who fit well with the company's culture","['Better job than humans', 'Worse job than humans', 'About the same', 'Refused']"
,HIRING6C_W27,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to choosing candidates from a diverse range of backgrounds","['Better job than humans', 'Worse job than humans', 'About the same', 'Refused']"
,HIRING6D_W27,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to providing opportunities for candidates with non-traditional experiences","['Better job than humans', 'Worse job than humans', 'About the same', 'Refused']"
